Class,Student ID,Student Name,Gender,Present,Absent,Holiday,Total Days,Percentage
6,1,"anshika vishwakarma ",female,3,1,1,5,60.0%
6,3,"Sumit Gupta",male,4,0,1,5,80.0%

--- 6 Summary ---
Boys,1,Present: 4,,Percentage: 80.0%,Average: 4.0
Girls,1,Present: 3,,Percentage: 60.0%,Average: 3.0
Total,2,Present: 7,,Percentage: 70.0%,Average: 3.5

9,4,"Aman Gupta",male,3,0,1,4,75.0%

--- 9 Summary ---
Boys,1,Present: 3,,Percentage: 75.0%,Average: 3.0
Girls,0,Present: 0,,Percentage: 0.0%,Average: 0.0
Total,1,Present: 3,,Percentage: 75.0%,Average: 3.0

Nursery,5,"Rahul",male,2,0,1,3,66.7%
Nursery,6,"h",male,2,0,1,3,66.7%

--- Nursery Summary ---
Boys,2,Present: 4,,Percentage: 66.7%,Average: 2.0
Girls,0,Present: 0,,Percentage: 0.0%,Average: 0.0
Total,2,Present: 4,,Percentage: 66.7%,Average: 2.0
