"Machine ID","Name","Date","Check In","Check Out","Status","Late","Work Hours","Teacher"
"1","Employee 1","2026-07-01","09:55","15:03","present","No","5.13","hello"
"1","Employee 1","2026-07-02","09:46","15:00","present","No","5.23","hello"
"1","Employee 1","2026-07-03","11:02","15:01","present","Yes","3.98","hello"
"1","Employee 1","2026-07-04","","","absent","No","","hello"
"1","Employee 1","2026-07-05","","","holiday","No","","hello"
"1","Employee 1","2026-07-06","09:41","15:00","present","No","","hello"
"1","Employee 1","2026-07-07","09:43","15:01","present","No","5.3","hello"
"1","Employee 1","2026-07-08","09:49","14:59","present","No","5.17","hello"
"1","Employee 1","2026-07-09","","","absent","No","","hello"
"1","Employee 1","2026-07-10","09:43","15:10","present","No","","hello"
"2","Employee 2","2026-07-01","09:55","15:03","present","No","5.13","—"
"2","Employee 2","2026-07-02","09:51","","half_day","No","","—"
"2","Employee 2","2026-07-03","09:52","14:57","present","No","5.08","—"
"2","Employee 2","2026-07-04","09:49","14:59","present","No","5.17","—"
"2","Employee 2","2026-07-05","","","absent","No","","—"
"2","Employee 2","2026-07-06","09:46","","half_day","No","","—"
"2","Employee 2","2026-07-07","09:42","15:00","present","No","5.3","—"
"2","Employee 2","2026-07-08","09:47","","half_day","No","","—"
"2","Employee 2","2026-07-09","09:44","15:03","present","No","5.32","—"
"2","Employee 2","2026-07-10","09:48","","half_day","No","","—"
"3","Employee 3","2026-07-01","09:51","","half_day","No","","—"
"3","Employee 3","2026-07-02","09:51","","half_day","No","","—"
"3","Employee 3","2026-07-03","09:33","15:05","present","No","5.53","—"
"3","Employee 3","2026-07-04","09:41","15:03","present","No","5.37","—"
"3","Employee 3","2026-07-05","","","absent","No","","—"
"3","Employee 3","2026-07-06","","","absent","No","","—"
"3","Employee 3","2026-07-07","09:18","15:18","present","No","6","—"
"3","Employee 3","2026-07-08","09:14","15:04","present","No","5.83","—"
"3","Employee 3","2026-07-09","09:04","15:06","present","No","6.03","—"
"3","Employee 3","2026-07-10","09:35","","half_day","No","","—"
"4","Employee 4","2026-07-01","09:52","","half_day","No","","—"
"4","Employee 4","2026-07-02","09:52","","half_day","No","","—"
"4","Employee 4","2026-07-03","09:33","15:05","present","No","5.53","—"
"4","Employee 4","2026-07-04","09:24","15:04","present","No","5.67","—"
"4","Employee 4","2026-07-05","","","absent","No","","—"
"4","Employee 4","2026-07-06","09:06","","half_day","No","","—"
"4","Employee 4","2026-07-07","09:30","15:17","present","No","5.78","—"
"4","Employee 4","2026-07-08","09:17","15:04","present","No","5.78","—"
"4","Employee 4","2026-07-09","09:16","15:06","present","No","5.83","—"
"4","Employee 4","2026-07-10","09:35","","half_day","No","","—"
"5","Employee 5","2026-07-01","09:52","15:05","present","No","5.22","—"
"5","Employee 5","2026-07-02","09:44","15:00","present","No","5.27","—"
"5","Employee 5","2026-07-03","09:49","15:01","present","No","5.2","—"
"5","Employee 5","2026-07-04","09:44","14:58","present","No","5.23","—"
"5","Employee 5","2026-07-05","","","absent","No","","—"
"5","Employee 5","2026-07-06","09:47","","half_day","No","","—"
"5","Employee 5","2026-07-07","09:48","15:02","present","No","5.23","—"
"5","Employee 5","2026-07-08","09:49","14:59","present","No","5.17","—"
"5","Employee 5","2026-07-09","09:46","15:02","present","No","5.27","—"
"5","Employee 5","2026-07-10","09:46","","half_day","No","","—"
"6","Employee 6","2026-07-01","09:52","15:04","present","No","5.2","—"
"6","Employee 6","2026-07-02","","","absent","No","","—"
"6","Employee 6","2026-07-03","","","absent","No","","—"
"6","Employee 6","2026-07-04","","","absent","No","","—"
"6","Employee 6","2026-07-05","","","absent","No","","—"
"6","Employee 6","2026-07-06","","","absent","No","","—"
"6","Employee 6","2026-07-07","","","absent","No","","—"
"6","Employee 6","2026-07-08","","","absent","No","","—"
"6","Employee 6","2026-07-09","","","absent","No","","—"
"6","Employee 6","2026-07-10","","","absent","No","","—"
"7","Employee 7","2026-07-01","09:52","","half_day","No","","—"
"7","Employee 7","2026-07-02","09:48","09:48","present","No","","—"
"7","Employee 7","2026-07-03","09:38","15:06","present","No","5.47","—"
"7","Employee 7","2026-07-04","09:36","15:03","present","No","5.45","—"
"7","Employee 7","2026-07-05","","","absent","No","","—"
"7","Employee 7","2026-07-06","09:34","","half_day","No","","—"
"7","Employee 7","2026-07-07","09:36","15:17","present","No","5.68","—"
"7","Employee 7","2026-07-08","","","absent","No","","—"
"7","Employee 7","2026-07-09","","","absent","No","","—"
"7","Employee 7","2026-07-10","09:33","","half_day","No","","—"
"8","Employee 8","2026-07-01","09:52","15:04","present","No","5.2","—"
"8","Employee 8","2026-07-02","09:38","15:01","present","No","5.38","—"
"8","Employee 8","2026-07-03","09:37","15:01","present","No","5.4","—"
"8","Employee 8","2026-07-04","09:29","14:57","present","No","5.47","—"
"8","Employee 8","2026-07-05","","","absent","No","","—"
"8","Employee 8","2026-07-06","09:33","","half_day","No","","—"
"8","Employee 8","2026-07-07","09:30","15:03","present","No","5.55","—"
"8","Employee 8","2026-07-08","09:40","14:59","present","No","5.32","—"
"8","Employee 8","2026-07-09","09:43","15:03","present","No","5.33","—"
"8","Employee 8","2026-07-10","09:38","","half_day","No","","—"
"9","Employee 9","2026-07-01","09:53","15:04","present","No","5.18","—"
"9","Employee 9","2026-07-02","09:37","15:01","present","No","5.4","—"
"9","Employee 9","2026-07-03","09:38","15:02","present","No","5.4","—"
"9","Employee 9","2026-07-04","09:36","14:57","present","No","5.35","—"
"9","Employee 9","2026-07-05","","","absent","No","","—"
"9","Employee 9","2026-07-06","09:40","","half_day","No","","—"
"9","Employee 9","2026-07-07","09:41","15:02","present","No","5.35","—"
"9","Employee 9","2026-07-08","09:42","14:59","present","No","5.28","—"
"9","Employee 9","2026-07-09","09:45","15:03","present","No","5.3","—"
"9","Employee 9","2026-07-10","09:45","","half_day","No","","—"
"10","Employee 10","2026-07-01","09:56","15:03","present","No","5.12","—"
"10","Employee 10","2026-07-02","09:42","14:59","present","No","5.28","—"
"10","Employee 10","2026-07-03","09:38","15:01","present","No","5.38","—"
"10","Employee 10","2026-07-04","09:44","14:56","present","No","5.2","—"
"10","Employee 10","2026-07-05","","","absent","No","","—"
"10","Employee 10","2026-07-06","09:43","15:00","present","No","","—"
"10","Employee 10","2026-07-07","09:41","15:02","present","No","5.35","—"
"10","Employee 10","2026-07-08","09:41","14:59","present","No","5.3","—"
"10","Employee 10","2026-07-09","09:46","15:02","present","No","5.27","—"
"10","Employee 10","2026-07-10","09:49","15:08","present","No","","—"
"11","Employee 11","2026-07-01","09:52","15:03","present","No","5.18","—"
"11","Employee 11","2026-07-02","09:44","15:00","present","No","5.27","—"
"11","Employee 11","2026-07-03","09:43","15:00","present","No","5.28","—"
"11","Employee 11","2026-07-04","09:44","14:58","present","No","5.23","—"
"11","Employee 11","2026-07-05","","","absent","No","","—"
"11","Employee 11","2026-07-06","09:42","15:10","present","No","","—"
"11","Employee 11","2026-07-07","09:44","15:02","present","No","5.3","—"
"11","Employee 11","2026-07-08","09:46","15:00","present","No","5.23","—"
"11","Employee 11","2026-07-09","","","absent","No","","—"
"11","Employee 11","2026-07-10","09:43","","half_day","No","","—"
"12","Employee 12","2026-07-01","09:54","15:03","present","No","5.15","—"
"12","Employee 12","2026-07-02","09:39","15:00","present","No","5.35","—"
"12","Employee 12","2026-07-03","09:40","15:01","present","No","5.35","—"
"12","Employee 12","2026-07-04","09:38","14:57","present","No","5.32","—"
"12","Employee 12","2026-07-05","","","absent","No","","—"
"12","Employee 12","2026-07-06","09:39","","half_day","No","","—"
"12","Employee 12","2026-07-07","09:38","15:03","present","No","5.42","—"
"12","Employee 12","2026-07-08","09:38","14:59","present","No","5.35","—"
"12","Employee 12","2026-07-09","09:39","15:03","present","No","5.4","—"
"12","Employee 12","2026-07-10","09:39","","half_day","No","","—"
"13","Employee 13","2026-07-01","09:52","15:04","present","No","5.2","—"
"13","Employee 13","2026-07-02","09:43","15:00","present","No","5.28","—"
"13","Employee 13","2026-07-03","09:47","15:01","present","No","5.23","—"
"13","Employee 13","2026-07-04","09:45","14:58","present","No","5.22","—"
"13","Employee 13","2026-07-05","","","absent","No","","—"
"13","Employee 13","2026-07-06","09:46","","half_day","No","","—"
"13","Employee 13","2026-07-07","09:45","15:02","present","No","5.28","—"
"13","Employee 13","2026-07-08","09:47","15:00","present","No","5.22","—"
"13","Employee 13","2026-07-09","09:47","15:02","present","No","5.25","—"
"13","Employee 13","2026-07-10","09:50","","half_day","No","","—"
"14","Employee 14","2026-07-01","09:53","15:03","present","No","5.17","—"
"14","Employee 14","2026-07-02","09:50","14:59","present","No","5.15","—"
"14","Employee 14","2026-07-03","09:50","15:01","present","No","5.18","—"
"14","Employee 14","2026-07-04","14:58","","half_day","Yes","","—"
"14","Employee 14","2026-07-05","","","absent","No","","—"
"14","Employee 14","2026-07-06","09:55","","half_day","No","","—"
"14","Employee 14","2026-07-07","09:33","15:02","present","No","5.48","—"
"14","Employee 14","2026-07-08","09:57","14:58","present","No","5.02","—"
"14","Employee 14","2026-07-09","09:45","15:02","present","No","5.28","—"
"14","Employee 14","2026-07-10","09:52","","half_day","No","","—"
"15","Employee 15","2026-07-01","09:57","","half_day","No","","—"
"15","Employee 15","2026-07-02","","","absent","No","","—"
"15","Employee 15","2026-07-03","","","absent","No","","—"
"15","Employee 15","2026-07-04","","","absent","No","","—"
"15","Employee 15","2026-07-05","","","absent","No","","—"
"15","Employee 15","2026-07-06","","","absent","No","","—"
"15","Employee 15","2026-07-07","","","absent","No","","—"
"15","Employee 15","2026-07-08","","","absent","No","","—"
"15","Employee 15","2026-07-09","","","absent","No","","—"
"15","Employee 15","2026-07-10","","","absent","No","","—"
"16","Employee 16","2026-07-01","09:57","","half_day","No","","—"
"16","Employee 16","2026-07-02","09:37","","half_day","No","","—"
"16","Employee 16","2026-07-03","","","absent","No","","—"
"16","Employee 16","2026-07-04","","","absent","No","","—"
"16","Employee 16","2026-07-05","","","absent","No","","—"
"16","Employee 16","2026-07-06","","","absent","No","","—"
"16","Employee 16","2026-07-07","","","absent","No","","—"
"16","Employee 16","2026-07-08","","","absent","No","","—"
"16","Employee 16","2026-07-09","","","absent","No","","—"
"16","Employee 16","2026-07-10","","","absent","No","","—"
"17","Employee 17","2026-07-01","10:11","15:03","present","Yes","4.87","—"
"17","Employee 17","2026-07-02","09:40","15:01","present","No","5.35","—"
"17","Employee 17","2026-07-03","09:40","14:58","present","No","5.3","—"
"17","Employee 17","2026-07-04","09:34","14:57","present","No","5.38","—"
"17","Employee 17","2026-07-05","","","absent","No","","—"
"17","Employee 17","2026-07-06","09:39","","half_day","No","","—"
"17","Employee 17","2026-07-07","09:43","15:03","present","No","5.33","—"
"17","Employee 17","2026-07-08","09:40","14:59","present","No","5.32","—"
"17","Employee 17","2026-07-09","09:42","15:09","present","No","5.45","—"
"17","Employee 17","2026-07-10","09:40","","half_day","No","","—"
"18","Employee 18","2026-07-01","","","absent","No","","—"
"18","Employee 18","2026-07-02","09:33","","half_day","No","","—"
"18","Employee 18","2026-07-03","09:39","","half_day","No","","—"
"18","Employee 18","2026-07-04","","","absent","No","","—"
"18","Employee 18","2026-07-05","","","absent","No","","—"
"18","Employee 18","2026-07-06","09:47","","half_day","No","","—"
"18","Employee 18","2026-07-07","09:42","15:08","present","No","5.43","—"
"18","Employee 18","2026-07-08","","","absent","No","","—"
"18","Employee 18","2026-07-09","09:46","15:05","present","No","5.32","—"
"18","Employee 18","2026-07-10","09:47","","half_day","No","","—"
"19","Employee 19","2026-07-01","","","absent","No","","—"
"19","Employee 19","2026-07-02","09:52","","half_day","No","","—"
"19","Employee 19","2026-07-03","09:55","15:08","present","No","5.22","—"
"19","Employee 19","2026-07-04","09:28","15:01","present","No","5.55","—"
"19","Employee 19","2026-07-05","","","absent","No","","—"
"19","Employee 19","2026-07-06","","","absent","No","","—"
"19","Employee 19","2026-07-07","09:48","15:08","present","No","5.33","—"
"19","Employee 19","2026-07-08","09:41","15:06","present","No","5.42","—"
